section,product_name,category,material,size,price,platform,log_price
REMAINING,"Channapatna Toys Handmade Nontoxic Wooden Baby Rattle Toys for infants/newborn babies(0+Year)-Whistle Baby Rattle 2 pc-Discover Sounds,Sensory Skill",Unknown,Unknown,Unknown,389,Channapatna Toys,5.966146739
REMAINING,"Channapatna Toys Handmade Nontoxic Wooden Baby Rattle cum Whistle Toy for infants/newborn babies (0+Years)-Discover Sounds, Develops Sensory Skills",Unknown,Unknown,Unknown,329,Channapatna Toys,5.799092654
REMAINING,"Channapatna Toys Handmade Nontoxic Wooden Rattles Toys for Babies/Infants ( 0+ Years)-set of 3 pcs-multicolor-Discover Sounds, Develops Sensory Skill",Unknown,"100% sustainable wooden toy with non-toxic, water-based dyes ,child safe. No batteries, no plasticn toy rattle provides tactile, sonic and visual stimulation",Unknown,438,Channapatna Toys,6.084499413
REMAINING,Channapatna Toys Handmade Small Sized Wooden Pots with Home Decorative Wooden Wall Hanging /Display Hut Shape for Home/Kitchen/Office/Bedroom/Room,Unknown,Unknown,Unknown,439,Channapatna Toys,6.086774727
REMAINING,"Channapatna Toys Handmade Wooden Rattles for Baby/Infants, new born ( 0+ Years) - set of 3 pcs - multicolor & whistle - Discover Sounds",Unknown,Unknown,Unknown,438,Channapatna Toys,6.084499413
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Combo Set of 2 Pcs - Multicolor - Curiosity & Fine Motor Skills | Pambaram,Unknown,Unknown,Unknown,329,Channapatna Toys,5.799092654
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Combo Set of 3 Pcs - Multicolor - Curiosity & Fine Motor Skills | Pambaram,Unknown,Unknown,Unknown,379,Channapatna Toys,5.940171253
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Combo Set of 7 Pcs - Multicolor | Pambaram | Bongaram | Lattu,Unknown,Unknown,Unknown,699,Channapatna Toys,6.551080335
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Lattu Spinning Toy Wood - Pack of 4 Pcs - Multicolor | Pambaram | Bongaram,Unknown,Unknown,Unknown,498,Channapatna Toys,6.212606096
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo for Kids (3 Years+) - Set of 2 Pcs - Multicolor - Curiosity & Fine Motor Skills | Pambaram,Unknown,Unknown,Unknown,379,Channapatna Toys,5.940171253
