section,product_name,category,material,price,platform,size_numeric,log_price
REMAINING,CHANNAPATNA Toys Peg Dolls Wooden Doctors Family Pretend Play Figurines - Colorful Organic Toys for Kids & Toddlers (2 Years+) - Pack of 4 pcs,Open-ended / Pretend Play / Educational Toys,Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Christmas Russian Nesting Dolls, Handcrafted Wooden Santa Design, 5 Pieces | GI and ODOP Certified",Art & Craft,Wood,699.0,Channapatna Toys,5.0,6.551080335043404
REMAINING,Channapatna Community Helpers Wooden Peg Dolls – Set of 8 | Handcrafted Eco-Friendly Role Play Toy for Kids,Open-ended / Pretend Play / Educational Toys,Wood,999.0,Channapatna Toys,8.474133333333333,6.907755278982137
REMAINING,"Channapatna Handcrafted Pen Pencil Holder, Red and Yellow with Floral Design, Traditional Indian Wooden Desk Organizer",Art & Craft,Wood,399.0,Channapatna Toys,8.474133333333333,5.991464547107982
REMAINING,Channapatna Handcrafted Wooden Air India Maharaja Spring Head Doll | GI-Tagged Indian Wooden Toy | Collectible Craft Figurine,Art & Craft,Wood,474.0,Channapatna Toys,8.474133333333333,6.163314804034641
REMAINING,Channapatna Handcrafted Wooden Bobblehead Bird Toy (Set of 2) | Eco-Friendly Decorative & Play Toy,Animal Toy,Natural Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,"Channapatna Handcrafted Wooden Bride and Groom Peg Dolls, Wedding Couple Figurines, Traditional Decorative Set",Open-ended / Pretend Play / Educational Toys,Wood,699.0,Channapatna Toys,8.474133333333333,6.551080335043404
REMAINING,"Channapatna Handcrafted Wooden Christmas Decorations Tree Hanging Ornament Bells, Set of 3, Red, Green, Orange",Art & Craft,Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,"Channapatna Handcrafted Wooden Christmas Ornaments – Gingerbread, Snowman & Tree | Eco-Friendly Holiday Décor | GI-Tagged Indian Handicraft",Art & Craft,Wood,899.0,Channapatna Toys,8.474133333333333,6.802394763324311
REMAINING,"Channapatna Handcrafted Wooden Couple Dolls | Traditional Craft, Wooden Toy, Handmade, Decorative Figurine, Couple Set",Art & Craft,Wood,599.0,Channapatna Toys,8.474133333333333,6.396929655216146
REMAINING,Channapatna Handcrafted Wooden Cylinder Grad,Art & Craft,Wood,13999.0,Channapatna Toys,8.474133333333333,9.546812608597396
REMAINING,Channapatna Handcrafted Wooden Doll | Traditional Indian Folk Art Toy | Eco-Friendly Décor & Gift | by Meeran Art and Crafts,Art & Craft,Wood,799.0,Channapatna Toys,8.474133333333333,6.684611727667927
REMAINING,"Channapatna Handcrafted Wooden Leprechaun Roly Poly Toy, Traditional Indian Wobble Doll in Green and Orange, Educational Play Tumbler for Children",Educational Toy,Wood,849.0,Channapatna Toys,8.474133333333333,6.745236349484363
REMAINING,Channapatna Handcrafted Wooden Peg Dolls – Indian Village Couple | GI-Tagged Wooden Toys & ODOP Certified,Open-ended / Pretend Play / Educational Toys,Wood,399.0,Channapatna Toys,8.474133333333333,5.991464547107982
REMAINING,Channapatna Handcrafted Wooden Rocket Toy | Natural Beech Wood | Space-Themed Pretend Play Toy for Kids | ODOP Certified,Open-ended / Pretend Play / Educational Toys,Natural Beech Wood,699.0,Channapatna Toys,8.474133333333333,6.551080335043404
REMAINING,Channapatna Handcrafted Wooden Stacker Toy for Kids - (1 Year+) - For Hand-Eye Coordination & Fine Motor Skill Development,Building Blocks,Wood,499.0,Channapatna Toys,1.0,6.214608098422191
REMAINING,"Channapatna Handcrafted Wooden Telephone Toy | GI-Tagged & ODOP Certified Traditional Indian Craft | Eco-Friendly Home Décor, Kids Pretend Play Toy",Open-ended / Pretend Play / Educational Toys,Wood,525.0,Channapatna Toys,8.474133333333333,6.26530121273771
REMAINING,Channapatna Handmade Wooden Spinning Tops (Set of 3) – Lattu Spinning Toy – Multicolor | Ages 3+ | Traditional Craft for Curiosity & Fine Motor Skills,Art & Craft,Wood,459.0,Channapatna Toys,8.474133333333333,6.131226489483141
REMAINING,Channapatna Handpainted Wooden Nutcracker Soldier Christmas Ornament – 27 cm | GI-Tagged Craft | Handcrafted Home Decoration,Art & Craft,Sustainable wood,999.0,Channapatna Toys,27.0,6.907755278982137
REMAINING,Channapatna Keychains Handcrafted Wooden Whistle Keychains set of 5pcs,Art & Craft,Wood,379.0,Channapatna Toys,8.474133333333333,5.940171252720432
REMAINING,"Channapatna Sustainable Wooden Pull-Along Toy Unicorn for 12 Months & Above Kids, Toddlers, Infant & Preschool Toys - Multicolor - Attached String",Baby Grasping Toy,Wood,599.0,Channapatna Toys,12.0,6.396929655216146
REMAINING,"Channapatna Toys Colorful Wooden Rattles for Baby/Infants Set of 3 pcs- Multicolor (0+ years) - Discover Sounds, Develops Sensory Skills",Baby Rattle,Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Toys Early Learning Developmental Toy | Wooden Abacus Educational Toy to Build Math Skills Foundation-Counting, Addition, and Subtraction",Educational Toy,Wood,535.0,Channapatna Toys,8.474133333333333,6.284134161070802
REMAINING,Channapatna Toys Educational Wooden Blocks Rainbow Stacker Toy for Kids - (1 Year+) - Multicolor - Pack of 7 pcs - Develop Fine Motor Skills,Educational Toy,Wood,748.0,Channapatna Toys,8.474133333333333,6.618738983517219
REMAINING,Channapatna Toys Handmade Eco-Friendly Wooden Baby Rattles Non-Toxic Safe Traditional Indian Newborn Toys for Sensory Development,Baby Rattle,Ivory wood (Wrightia tinctoria),825.0,Channapatna Toys,8.474133333333333,6.716594773520978
REMAINING,Channapatna Toys Handmade Non toxic Wooden Toys for Kids | 2 Pcs Doll Sharpener | Hand Pencil Sharpener for Kids/Return Gift/School/Home/Office,Doll,Wood,329.0,Channapatna Toys,2.0,5.799092654460526
REMAINING,"Channapatna Toys Handmade Non toxic wooden rattle for baby/Infants ( 0+ Years) - set of 3 pcs - multicolor - Discover Sounds, Develops Sensory Skills",Baby Rattle,Wood,439.0,Channapatna Toys,8.474133333333333,6.0867747269123065
REMAINING,"Channapatna Toys Handmade Nontoxic Wooden Baby Rattle Toys for infants/newborn babies(0+Year)-Whistle Baby Rattle 2 pc-Discover Sounds,Sensory Skill",Baby Rattle,Wood,389.0,Channapatna Toys,2.0,5.966146739123692
REMAINING,"Channapatna Toys Handmade Nontoxic Wooden Baby Rattle cum Whistle Toy for infants/newborn babies (0+Years)-Discover Sounds, Develops Sensory Skills",Baby Rattle,Wood,329.0,Channapatna Toys,0.0,5.799092654460526
REMAINING,"Channapatna Toys Handmade Nontoxic Wooden Rattles Toys for Babies/Infants ( 0+ Years)-set of 3 pcs-multicolor-Discover Sounds, Develops Sensory Skill",Baby Rattle,"100% sustainable wooden toy with non-toxic, water-based dyes ,child safe. No batteries, no plasticn toy rattle provides tactile, sonic and visual stimulation",438.0,Channapatna Toys,8.474133333333333,6.0844994130751715
REMAINING,Channapatna Toys Handmade Small Sized Wooden Pots with Home Decorative Wooden Wall Hanging /Display Hut Shape for Home/Kitchen/Office/Bedroom/Room,Educational Toy,Wood,439.0,Channapatna Toys,8.474133333333333,6.0867747269123065
REMAINING,"Channapatna Toys Handmade Wooden Rattles for Baby/Infants, new born ( 0+ Years) - set of 3 pcs - multicolor & whistle - Discover Sounds",Baby Rattle,Wood,438.0,Channapatna Toys,8.474133333333333,6.0844994130751715
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Combo Set of 2 Pcs - Multicolor - Curiosity & Fine Motor Skills | Pambaram,Spinning Top,Wood,329.0,Channapatna Toys,8.474133333333333,5.799092654460526
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Combo Set of 3 Pcs - Multicolor - Curiosity & Fine Motor Skills | Pambaram,Spinning Top,Wood,379.0,Channapatna Toys,8.474133333333333,5.940171252720432
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Combo Set of 7 Pcs - Multicolor | Pambaram | Bongaram | Lattu,Spinning Top,Wood,699.0,Channapatna Toys,8.474133333333333,6.551080335043404
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo (3 Years+) - Lattu Spinning Toy Wood - Pack of 4 Pcs - Multicolor | Pambaram | Bongaram,Spinning Top,Wood,498.0,Channapatna Toys,8.474133333333333,6.212606095751519
REMAINING,Channapatna Toys Handmade Wooden Spinning Tops Toys Combo for Kids (3 Years+) - Set of 2 Pcs - Multicolor - Curiosity & Fine Motor Skills | Pambaram,Spinning Top,Wood,379.0,Channapatna Toys,8.474133333333333,5.940171252720432
REMAINING,Channapatna Toys Handmade Wooden Toys for Kids Handcrafted Wooden Spring Head Adivasi Coup,Art & Craft,Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Toys Indian Bride & Groom Wooden Dolls Non Toxic Colors ( 2 Years+) - Set of 2 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Wood,749.0,Channapatna Toys,8.474133333333333,6.620073206530356
REMAINING,"Channapatna Toys Indian Raja & Rani Wooden Dolls Non Toxic Colors ( 2 Years+) - Set of 2 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Wood,749.0,Channapatna Toys,8.474133333333333,6.620073206530356
REMAINING,"Channapatna Toys Montessori Learning Blocks Wooden Toys Box, 6-24 Months, Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Educational Toy,Wood,1799.0,Channapatna Toys,24.0,7.495541943884256
REMAINING,"Channapatna Toys Montessori Learning Blocks Wooden Toys Box, 6-24 Months, Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Educational Toy,Wood,1599.0,Channapatna Toys,24.0,7.3777589082278725
REMAINING,"Channapatna Toys Montessori Toys for 1 2 3 Year Old Boys Girls-Wooden Sorting & Stacking Toys, Hammer Ball for Baby Toddlers, Educational Kids Gifts",Educational Toy,Wood,999.0,Channapatna Toys,3.0,6.907755278982137
REMAINING,Channapatna Toys Montessori Wooden Egg and Cup Puzzle for Toddlers 1-3 Years | Handcrafted Natural Wooden Learning Toy | Develop Fine Motor Skills,Educational Toy,Natural Wood,419.0,Channapatna Toys,3.0,6.040254711277414
REMAINING,Channapatna Toys Neem Wooden Teethers for babies - brown - pack of 3 pieces,Baby Grasping Toy,Wood,399.0,Channapatna Toys,8.474133333333333,5.991464547107982
REMAINING,"Channapatna Toys Non toxic Wooden Rattles for Baby/Infants ( 0+ Years) - set of 3 pcs - multicolor - Discover Sounds, Develops Sensory Skills",Baby Rattle,Wood,438.0,Channapatna Toys,8.474133333333333,6.0844994130751715
REMAINING,Channapatna Toys Organic Wooden Doughnut Stacking Toy for Kids - (1 Year+) - Montessori Wooden Rainbow Stacking Toys for Toddlers,Educational Toy,Wood,599.0,Channapatna Toys,1.0,6.396929655216146
